Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
14,19,26,11,27
31,25,19,24,26
17,8,18,15,21.5
20,2,19,22,17.5
24,7,17,17,13
27,16,23,17,25
22,22,19,17,19
24,23,29,22,31.5
19.5,20,30,25,28
26,19,21,16,19
16,17,20,24,17
19,16,32,20,23.5
21.5,16,26,16,19
18,20,31,16,23
7,25,30,19,29.5
25,16,17,19,24
15,20,27,26,27
14,15,20,20,25.3
23,17,15,22,14
18.5,23,29,9,
24,22,25,20,
27.5,19,29,18,
24,16,28,9,
30,19,26,25,
29,14,21,18,
24,3,,16,
24,4,,22,
22,24,,12,
27,8,,18,
22,18,,15,
10,11,,19,
16,7,,22,
16,24,,23,
25,,,17,
20,,,13,
16,,,21,
,,,21,